,Time (Seconds),Lidar,Steer
0,5.080273,"[[-0.06291503459215164, -0.5588999390602112, 0.00015022276784293354], [-0.0003039550792891532, -16.42047691345215, -3.929138074454386e-06], [1.8430132865905762, -16.35700225830078, -0.0043973159044981], [3.7186362743377686, -16.29216957092285, -0.008868865668773651], [5.677372932434082, -16.224714279174805, -0.013538626953959465], [7.778646469116211, -16.152324676513672, -0.01855064369738102], [10.098978996276855, -16.072473526000977, -0.024083061143755913], [12.74441146850586, -15.981228828430176, -0.030390586704015732], [15.873357772827148, -15.87338924407959, -0.0378500372171402], [19.737276077270508, -15.740260124206543, -0.047061920166015625], [24.77365493774414, -15.566608428955078, -0.059070929884910583], [31.81954002380371, -15.3236722946167, -0.07587116211652756], [42.71859359741211, -14.947912216186523, -0.10186172276735306], [28.86083984375, 6.587244033813477, -0.06880805641412735], [17.72919464111328, 6.203766345977783, -0.042269859462976456], [12.508254051208496, 6.023709774017334, -0.02982322685420513], [9.416926383972168, 5.916942119598389, -0.022451095283031464], [7.329680442810059, 5.845187187194824, -0.017475776374340057], [5.792405128479004, 5.792378902435303, -0.013808784075081348], [4.586231708526611, 5.750805377960205, -0.010933265089988708], [3.5919299125671387, 5.716343879699707, -0.008563079871237278], [2.7388529777526855, 5.686996936798096, -0.006529044825583696], [1.980762004852295, 5.660647392272949, -0.004722061101347208], [1.2861922979354858, 5.63638162612915, -0.0030670166015625], [0.6328310966491699, 5.614144325256348, -0.0015072631649672985], [3.112792910542339e-05, 5.592202186584473, 1.2588500339916209e-06]]",-0.011688602896544100
1,5.234864,"[[-0.06311723589897156, -0.5595386624336243, 0.0002967834298033267], [0.0003558349562808871, -16.41823959350586, -0.00181236257776618], [1.842631220817566, -16.354604721069336, -0.012283744290471077], [3.717898368835449, -16.289478302001953, -0.022941283881664276], [5.676183223724365, -16.221588134765625, -0.03407249227166176], [7.776413440704346, -16.148988723754883, -0.04601135104894638], [10.09610366821289, -16.068384170532227, -0.05919395387172699], [12.740736961364746, -15.976640701293945, -0.074223093688488], [15.868195533752441, -15.868335723876953, -0.0919974148273468], [19.729839324951172, -15.734602928161621, -0.11394760012626648], [24.763153076171875, -15.560129165649414, -0.14255355298519135], [31.80327606201172, -15.31606674194336, -0.18256942927837372], [42.691165924072266, -14.938594818115234, -0.24444854259490967], [28.900680541992188, 6.596487998962402, -0.16364310681819916], [17.746774673461914, 6.209821701049805, -0.10024768859148026], [12.51849365234375, 6.028663635253906, -0.07053302973508835], [9.423376083374023, 5.921159744262695, -0.05294055864214897], [7.33433198928833, 5.8488078117370605, -0.04106639698147774], [5.795504093170166, 5.79569673538208, -0.032322999089956284], [4.58880615234375, 5.754078388214111, -0.02546153962612152], [3.5934808254241943, 5.719232559204102, -0.01980670914053917], [2.7400665283203125, 5.689658164978027, -0.014955596998333931], [1.9817914962768555, 5.663413047790527, -0.010645904578268528], [1.2872865200042725, 5.63945198059082, -0.00669872248545289], [0.6328392028808594, 5.616458415985107, -0.0029800795018672943], [-0.0001455688470741734, 5.594644069671631, 0.0006175613380037248]]",-0.011574850955070800
2,5.34893,"[[-0.06292762607336044, -0.6212182641029358, 0.0006314468337222934], [0.1840490698814392, -16.402544021606445, -0.00894035305827856], [2.0260820388793945, -16.33714485168457, -0.03447666019201279], [3.905888557434082, -16.270320892333984, -0.060524482280015945], [5.873054027557373, -16.200702667236328, -0.08779365569353104], [7.989157676696777, -16.12565040588379, -0.11711810529232025], [10.332087516784668, -16.04230499267578, -0.14959174394607544], [13.011234283447266, -15.947419166564941, -0.1867327094078064], [16.19230842590332, -15.834391593933105, -0.23081786930561066], [20.137292861938477, -15.694710731506348, -0.28549909591674805], [25.308837890625, -15.51123046875, -0.35717740654945374], [32.59933090209961, -15.252306938171387, -0.4582159221172333], [44.00548553466797, -14.847444534301758, -0.6163052320480347], [27.39173698425293, 6.576793670654297, -0.37746649980545044], [17.13425064086914, 6.212868690490723, -0.23529799282550812], [12.183067321777344, 6.036892414093018, -0.16667723655700684], [9.207608222961426, 5.931152820587158, -0.12543624639511108], [7.1802978515625, 5.859594821929932, -0.0973338708281517], [5.677132606506348, 5.806377410888672, -0.07649772614240646], [4.4917168617248535, 5.764211177825928, -0.06006889045238495], [3.5106964111328125, 5.729385852813721, -0.04647460952401161], [2.666243553161621, 5.699227809906006, -0.03476856276392937], [1.9137080907821655, 5.672582149505615, -0.024338722229003906], [1.2221938371658325, 5.647756099700928, -0.014760512858629227], [0.5700746178627014, 5.624800682067871, -0.0057157897390425205], [-0.06289184093475342, 5.602466106414795, 0.0030536651611328125]]",-0.011088007908251000
3,5.46924,"[[-0.06317634135484695, -0.5600595474243164, 0.0009414672385901213], [-0.0003784179571084678, -16.392974853515625, -0.0107577508315444], [1.8387829065322876, -16.32503890991211, -0.04886443912982941], [3.7093114852905273, -16.255985260009766, -0.08762732893228531], [5.661571979522705, -16.18437385559082, -0.1280832290649414], [7.754951477050781, -16.107189178466797, -0.17145922780036926], [10.06468391418457, -16.022104263305664, -0.21932704746723175], [12.697050094604492, -15.924753189086914, -0.2738647758960724], [15.806769371032715, -15.810391426086426, -0.3383147716522217], [19.64427375793457, -15.668928146362305, -0.4178246557712555], [24.63907814025879, -15.485029220581055, -0.5213303565979004], [31.614105224609375, -15.228055000305176, -0.6658747792243958], [42.376991271972656, -14.831493377685547, -0.8889022469520569], [29.36516571044922, 6.703774452209473, -0.6048185229301453], [17.95356559753418, 6.28358793258667, -0.3683384954929352], [12.638715744018555, 6.08762788772583, -0.25821077823638916], [9.502410888671875, 5.97206449508667, -0.19321918487548828], [7.389536380767822, 5.894167423248291, -0.1494378298521042], [5.836020469665527, 5.837028503417969, -0.11724292486906052], [4.618171215057373, 5.792069435119629, -0.09200981259346008], [3.615703582763672, 5.755250930786133, -0.07123249024152756], [2.755857467651367, 5.723579406738281, -0.05341571569442749], [1.9927057027816772, 5.695457458496094, -0.0375988744199276], [1.293602705001831, 5.6693854331970215, -0.02312038280069828], [0.6362359523773193, 5.645256042480469, -0.009488563053309917], [-0.0003216552722733468, 5.621660232543945, 0.0036893081851303577]]",-0.010271519180112000
4,5.590086,"[[-0.06300294399261475, -0.6213665008544922, 0.0010225677397102118], [0.18332640826702118, -16.363813400268555, -0.018519477918744087], [2.0202128887176514, -16.29294204711914, -0.06380302459001541], [3.892618417739868, -16.220672607421875, -0.10996273159980774], [5.851498126983643, -16.145221710205078, -0.15824641287326813], [7.956268787384033, -16.064029693603516, -0.21013538539409637], [10.285590171813965, -15.973986625671387, -0.2675456702709198], [12.946309089660645, -15.871281623840332, -0.3331438899040222], [16.101558685302734, -15.749573707580566, -0.41092395782470703], [20.01038360595703, -15.59881591796875, -0.5072753429412842], [25.125009536743164, -15.401276588439941, -0.6333519220352173], [32.31766891479492, -15.12411117553711, -0.8106628060340881], [43.53217315673828, -14.691190719604492, -1.0871102809906006], [28.008371353149414, 6.726162433624268, -0.685594916343689], [17.419635772705078, 6.317596435546875, -0.4245801866054535], [12.352554321289062, 6.122189998626709, -0.2996689975261688], [9.320269584655762, 6.004820346832275, -0.22492244839668274], [7.259670734405518, 5.925541877746582, -0.1741238683462143], [5.734686851501465, 5.866587162017822, -0.13654224574565887], [4.534659385681152, 5.8204851150512695, -0.1069498062133789], [3.54231858253479, 5.782138347625732, -0.0824926346540451], [2.689274787902832, 5.749407768249512, -0.061455000191926956], [1.9290498495101929, 5.719794750213623, -0.0427282340824604], [1.2321468591690063, 5.692774295806885, -0.025542564690113068], [0.5743855237960815, 5.667558670043945, -0.00932468380779028], [-0.06281646341085434, 5.642722129821777, 0.006386108230799437]]",-0.009209316429632360
5,5.739296,"[[-0.0629226490855217, -0.620002031326294, 0.0010198593372479081], [0.1827990710735321, -16.33672523498535, -0.02097759209573269], [2.01607346534729, -16.26234245300293, -0.06863319128751755], [3.8841803073883057, -16.186628341674805, -0.11718753725290298], [5.837439060211182, -16.107385635375977, -0.1679515391588211], [7.935547828674316, -16.022314071655273, -0.2224847674369812], [10.255008697509766, -15.928425788879395, -0.2827821671962738], [12.904772758483887, -15.8208589553833, -0.3516426384449005], [16.043657302856445, -15.693504333496094, -0.4332248270511627], [19.929121017456055, -15.535820007324219, -0.5342100858688354], [25.007240295410156, -15.329943656921387, -0.6661991477012634], [32.13886260986328, -15.04094123840332, -0.8515601754188538], [43.23329162597656, -14.590815544128418, -1.139925241470337], [28.425506591796875, 6.826671123504639, -0.7331866025924683], [17.613746643066406, 6.388121604919434, -0.4521646499633789], [12.46830940246582, 6.17960786819458, -0.3184279203414917], [9.397276878356934, 6.054708957672119, -0.23861972987651825], [7.314659118652344, 5.97050142288208, -0.18447482585906982], [5.774988651275635, 5.907817840576172, -0.14447131752967834], [4.5646514892578125, 5.859050273895264, -0.11300288885831833], [3.5643272399902344, 5.818472862243652, -0.08701270818710327], [2.705043077468872, 5.78355598449707, -0.06467193365097046], [1.9403431415557861, 5.752709865570068, -0.04479580000042915], [1.2391507625579834, 5.724332332611084, -0.026565246284008026], [0.5774763226509094, 5.69734001159668, -0.009369087405502796], [-0.0634860247373581, 5.671082019805908, 0.007282791193574667]]",-0.007981902276851310
6,5.857679,"[[-0.06315839290618896, -0.5593311786651611, 0.0010008239187300205], [-0.0003521728503983468, -16.31302261352539, -0.017362022772431374], [1.8281768560409546, -16.235088348388672, -0.0636044293642044], [3.686159610748291, -16.155946731567383, -0.11058226972818375], [5.622107028961182, -16.073514938354492, -0.15954475104808807], [7.694926738739014, -15.98537826538086, -0.21196837723255157], [9.979666709899902, -15.887535095214844, -0.2697293162345886], [12.5772705078125, -15.777322769165039, -0.3354259431362152], [15.641298294067383, -15.646628379821777, -0.41290372610092163], [19.412269592285156, -15.48598575592041, -0.5082651972770691], [24.305892944335938, -15.277718544006348, -0.6320158243179321], [31.11197280883789, -14.987768173217773, -0.8041191101074219], [41.54799270629883, -14.543123245239258, -1.0680298805236816], [32.8113899230957, 7.104781150817871, -0.8236501812934875], [19.353349685668945, 6.531253337860107, -0.4833272397518158], [13.416447639465332, 6.278356075286865, -0.3331994414329529], [10.005302429199219, 6.133148193359375, -0.24692946672439575], [7.744358539581299, 6.036684989929199, -0.18975363671779633], [6.100086688995361, 5.966462135314941, -0.14818397164344788], [4.82307243347168, 5.912272930145264, -0.1158878281712532], [3.7784788608551025, 5.867813587188721, -0.08947104960680008], [2.887716054916382, 5.830097675323486, -0.06694812327623367], [2.1010940074920654, 5.796523094177246, -0.047052305191755295], [1.3837857246398926, 5.765688419342041, -0.028919372707605362], [0.711574375629425, 5.737267971038818, -0.01191707607358694], [0.0640740916132927, 5.709553241729736, 0.004455032292753458], [-0.06287708133459091, 0.6219655275344849, 0.0022579955402761698]]",-0.006259279259548880
7,5.971153,"[[-0.06293109804391861, -0.6216021180152893, 0.0008076477097347379], [0.18211059272289276, -16.270246505737305, -0.022067908197641373], [2.007355213165283, -16.188709259033203, -0.06505431979894638], [3.8651206493377686, -16.106298446655273, -0.10882098972797394], [5.80583381652832, -16.019737243652344, -0.15453265607357025], [7.888493061065674, -15.926620483398438, -0.2035849392414093], [10.18899917602539, -15.823906898498535, -0.2577679753303528], [12.812952995300293, -15.707100868225098, -0.3195711076259613], [15.916566848754883, -15.568675994873047, -0.3926825225353241], [19.752613067626953, -15.397689819335938, -0.48302486538887024], [24.755084991455078, -15.174286842346191, -0.6008504033088684], [31.75868034362793, -14.862202644348145, -0.765817403793335], [42.60590362548828, -14.378206253051758, -1.0213085412979126], [29.370100021362305, 7.052950859069824, -0.685505211353302], [18.05729103088379, 6.5485520362854, -0.4190438389778137], [12.734743118286133, 6.311293601989746, -0.2936812937259674], [9.577005386352539, 6.1702880859375, -0.2193119376897812], [7.443061351776123, 6.075008869171143, -0.16904300451278687], [5.870449066162109, 6.005102634429932, -0.131993368268013], [4.635647296905518, 5.950134754180908, -0.1029142364859581], [3.6175689697265625, 5.904683589935303, -0.07893417030572891], [2.7436859607696533, 5.865947246551514, -0.05834770202636719], [1.9670008420944214, 5.831329345703125, -0.04005371034145355], [1.2553750276565552, 5.799460411071777, -0.023291664198040962], [0.5846322774887085, 5.769407272338867, -0.007496223319321871], [-0.06412597745656967, 5.740566730499268, 0.007785911206156015]]",-0.0061033082717228500
8,6.093829,"[[-0.06288980692625046, -0.5592229962348938, 0.0007747268537059426], [-0.0002728271356318146, -16.240142822265625, -0.01691482588648796], [1.819395661354065, -16.15599250793457, -0.05603484809398651], [3.6667606830596924, -16.0703067779541, -0.09573989361524582], [5.590170860290527, -15.981128692626953, -0.13709048926830292], [7.647896766662598, -15.885520935058594, -0.18131877481937408], [9.912707328796387, -15.780362129211426, -0.23000629246234894], [12.485700607299805, -15.661291122436523, -0.28531840443611145], [15.516634941101074, -15.520365715026855, -0.35046130418777466], [19.240570068359375, -15.34786605834961, -0.43052035570144653], [24.06353187561035, -15.123892784118652, -0.5341888070106506], [30.753196716308594, -14.813648223876953, -0.6779879331588745], [40.97050857543945, -14.339584350585938, -0.89761883020401], [31.79437828063965, 7.25857400894165, -0.6774240136146545], [19.048559188842773, 6.666766166687012, -0.403444766998291], [13.286290168762207, 6.399678707122803, -0.2795740067958832], [9.935647010803223, 6.244394779205322, -0.20754878222942352], [7.698286056518555, 6.1405816078186035, -0.1594523936510086], [6.063131809234619, 6.064472675323486, -0.1243070587515831], [4.788084983825684, 6.005227088928223, -0.09689998626708984], [3.7423524856567383, 5.956977844238281, -0.07441791146993637], [2.8481199741363525, 5.91545295715332, -0.055199507623910904], [2.0566976070404053, 5.878627777099609, -0.038185004144907], [1.3338514566421509, 5.845229148864746, -0.022648314014077187], [0.6548590064048767, 5.813457489013672, -0.008054733276367188], [-3.0517577442878974e-07, 5.7832255363464355, 0.006023521069437265]]",-0.004861012021982760
9,6.2255,"[[-0.06295429170131683, -0.5595373511314392, 0.0006333541823551059], [-0.00019653320487122983, -16.198261260986328, -0.017344169318675995], [1.8144872188568115, -16.11138153076172, -0.05273338034749031], [3.6562340259552, -16.02261734008789, -0.08864051848649979], [5.5728960037231445, -15.930315017700195, -0.1260172575712204], [7.622149467468262, -15.831696510314941, -0.16598102450370789], [9.8774995803833, -15.72293758392334, -0.20995204150676727], [12.437731742858887, -15.60011100769043, -0.25988292694091797], [15.451716423034668, -15.45490837097168, -0.3186497688293457], [19.15273666381836, -15.276986122131348, -0.39081674814224243], [23.941213607788086, -15.046724319458008, -0.4841974973678589], [30.575395584106445, -14.727187156677246, -0.6135506629943848], [40.68872833251953, -14.240476608276367, -0.8107568025588989], [32.34267044067383, 7.383342266082764, -0.6244260668754578], [19.302913665771484, 6.755519390106201, -0.3701549768447876], [13.440316200256348, 6.473608016967773, -0.25583416223526], [10.040764808654785, 6.31006383895874, -0.18954753875732422], [7.774576187133789, 6.2009758949279785, -0.14535647630691528], [6.120219707489014, 6.12143611907959, -0.11310084909200668], [4.831259250640869, 6.059167861938477, -0.08796531707048416], [3.774963855743408, 6.008542537689209, -0.06736507266759872], [2.8723082542419434, 5.96519136428833, -0.04976566135883331], [2.073674201965332, 5.926679611206055, -0.03419250249862671], [1.34483003616333, 5.891672134399414, -0.01997753046452999], [0.6600826978683472, 5.858559608459473, -0.006631240714341402], [0.00024749754811637104, 5.8270416259765625, 0.006239166017621756]]",-0.0036145408547091400
