,Time (Seconds),Lidar,Steer
0,4.516015,"[[-0.06294088810682297, -0.6993303298950195, 0.0], [0.19637034833431244, -8.749999046325684, 7.629394360719743e-08], [1.185270071029663, -8.749999046325684, -1.5258788721439487e-07], [2.204801082611084, -8.749999046325684, 0.0], [3.2838995456695557, -8.749998092651367, 7.629394360719743e-08], [4.458340167999268, -8.749998092651367, 0.0], [5.7758073806762695, -8.749998092651367, 0.0], [7.305028915405273, -8.749998092651367, -7.629394360719743e-08], [9.15176010131836, -8.74999713897705, -1.5258788721439487e-07], [11.491938591003418, -8.74999713897705, -7.629394360719743e-08], [14.644999504089355, -8.74999713897705, 0.0], [19.26361656188965, -8.749996185302734, 1.5258788721439487e-07], [26.929704666137695, -8.749995231628418, 0.0], [42.73435592651367, -8.749993324279785, 0.0], [33.151004791259766, 8.750001907348633, 0.0], [22.542240142822266, 8.750000953674316, 7.629394360719743e-08], [16.706785202026367, 8.75, 0.0], [12.93764591217041, 8.750001907348633, 0.0], [10.244935035705566, 8.75, 0.0], [8.17995548248291, 8.75, 0.0], [6.508478164672852, 8.749999046325684, 0.0], [5.095559120178223, 8.749999046325684, 7.629394360719743e-08], [3.85660719871521, 8.749999046325684, 7.629394360719743e-08], [2.7349047660827637, 8.749999046325684, 0.0], [1.6895345449447632, 8.749999046325684, -1.5258788721439487e-07], [0.6886386871337891, 8.749999046325684, 0.0], [-0.294617235660553, 8.74999713897705, 7.629394360719743e-08]]",0.1836262196302414
1,4.664763,"[[-0.06294072419404984, -0.6993327736854553, 2.922058047261089e-05], [0.19636693596839905, -8.749998092651367, -9.18579098652117e-05], [1.1852688789367676, -8.74999713897705, -0.0005495452787727118], [2.20479679107666, -8.74999713897705, -0.001021919189952314], [3.283897638320923, -8.74999713897705, -0.0015219115884974599], [4.458335876464844, -8.749996185302734, -0.002066230634227395], [5.775798320770264, -8.749996185302734, -0.0026771926786750555], [7.305020809173584, -8.749995231628418, -0.0033862304408103228], [9.151750564575195, -8.749995231628418, -0.004241676069796085], [11.491923332214355, -8.749993324279785, -0.005325660575181246], [14.644980430603027, -8.749992370605469, -0.0067864228039979935], [19.263586044311523, -8.749991416931152, -0.00892356876283884], [26.92964744567871, -8.749988555908203, -0.012475738301873207], [42.73422622680664, -8.749982833862305, -0.019801711663603783], [33.15106964111328, 8.75001335144043, -0.015355834737420082], [22.542274475097656, 8.750008583068848, -0.010443649254739285], [16.706806182861328, 8.750006675720215, -0.007740668952465057], [12.93765640258789, 8.750005722045898, -0.00599529268220067], [10.244940757751465, 8.750003814697266, -0.00474765757098794], [8.179962158203125, 8.750003814697266, -0.0037910460960119963], [6.50848388671875, 8.75000286102295, -0.003016052069142461], [5.095561981201172, 8.75, -0.002361030550673604], [3.856614351272583, 8.750001907348633, -0.0017863464308902621], [2.73490834236145, 8.750001907348633, -0.0012677002232521772], [1.689536452293396, 8.750000953674316, -0.0007828521775081754], [0.6886408925056458, 8.75, -0.00031906127696856856], [-0.29461660981178284, 8.75, 0.00013694762310478836]]",0.1836262196302414
2,4.816904,"[[-0.06294072419404984, -0.6993327736854553, 2.922058047261089e-05], [0.19636693596839905, -8.749998092651367, -9.18579098652117e-05], [1.1852688789367676, -8.74999713897705, -0.0005495452787727118], [2.20479679107666, -8.74999713897705, -0.001021919189952314], [3.283897638320923, -8.74999713897705, -0.0015219115884974599], [4.458335876464844, -8.749996185302734, -0.002066230634227395], [5.775798320770264, -8.749996185302734, -0.0026771926786750555], [7.305020809173584, -8.749995231628418, -0.0033862304408103228], [9.151750564575195, -8.749995231628418, -0.004241676069796085], [11.491923332214355, -8.749993324279785, -0.005325660575181246], [14.644980430603027, -8.749992370605469, -0.0067864228039979935], [19.263586044311523, -8.749991416931152, -0.00892356876283884], [26.92964744567871, -8.749988555908203, -0.012475738301873207], [42.73422622680664, -8.749982833862305, -0.019801711663603783], [33.15106964111328, 8.75001335144043, -0.015355834737420082], [22.542274475097656, 8.750008583068848, -0.010443649254739285], [16.706806182861328, 8.750006675720215, -0.007740668952465057], [12.93765640258789, 8.750005722045898, -0.00599529268220067], [10.244940757751465, 8.750003814697266, -0.00474765757098794], [8.179962158203125, 8.750003814697266, -0.0037910460960119963], [6.50848388671875, 8.75000286102295, -0.003016052069142461], [5.095561981201172, 8.75, -0.002361030550673604], [3.856614351272583, 8.750001907348633, -0.0017863464308902621], [2.73490834236145, 8.750001907348633, -0.0012677002232521772], [1.689536452293396, 8.750000953674316, -0.0007828521775081754], [0.6886408925056458, 8.75, -0.00031906127696856856], [-0.29461660981178284, 8.75, 0.00013694762310478836]]",0.1729956865310669
3,5.095262,"[[-0.06294027715921402, -0.699341356754303, 0.00013195037900004536], [0.19637034833431244, -8.749999046325684, -0.0004131316964048892], [1.1852691173553467, -8.749999046325684, -0.00248516071587801], [2.2047972679138184, -8.749999046325684, -0.004622192122042179], [3.2838943004608154, -8.749998092651367, -0.006882057059556246], [4.458329200744629, -8.749998092651367, -0.00934318546205759], [5.775794982910156, -8.749998092651367, -0.012103423476219177], [7.3050150871276855, -8.749998092651367, -0.015307197347283363], [9.151739120483398, -8.74999713897705, -0.019176749512553215], [11.491910934448242, -8.74999713897705, -0.02408035285770893], [14.644969940185547, -8.74999713897705, -0.030686378479003906], [19.263572692871094, -8.749996185302734, -0.04036800190806389], [26.929645538330078, -8.749995231628418, -0.05642780289053917], [42.7342529296875, -8.749993324279785, -0.0895443707704544], [33.15092849731445, 8.750000953674316, -0.06945865601301193], [22.54219627380371, 8.750000953674316, -0.04723117873072624], [16.706750869750977, 8.75, -0.03500484302639961], [12.937618255615234, 8.75, -0.027107352390885353], [10.244908332824707, 8.75, -0.02146400325000286], [8.179936408996582, 8.750000953674316, -0.017137641087174416], [6.508463382720947, 8.749999046325684, -0.013637008145451546], [5.0955491065979, 8.75, -0.010675201192498207], [3.8566014766693115, 8.749999046325684, -0.008079643361270428], [2.734898328781128, 8.749999046325684, -0.0057286834344267845], [1.6895302534103394, 8.749999046325684, -0.0035385512746870518], [0.6886380910873413, 8.749999046325684, -0.0014417647616937757], [-0.2946186065673828, 8.749999046325684, 0.0006188583211041987]]",0.1729956865310669
4,5.436594,"[[-0.06293998658657074, -0.7997527718544006, 0.00016750335635151714], [0.29461756348609924, -8.750016212463379, -0.0007493972661904991], [1.2854000329971313, -8.750017166137695, -0.00334728229790926], [2.3095030784606934, -8.750017166137695, -0.006033782847225666], [3.3964054584503174, -8.750018119812012, -0.008885154500603676], [4.582705974578857, -8.750019073486328, -0.01199623104184866], [5.917794704437256, -8.750019073486328, -0.015499992296099663], [7.4731903076171875, -8.750020027160645, -0.01957889460027218], [9.359746932983398, -8.750020980834961, -0.02452724426984787], [11.763492584228516, -8.750021934509277, -0.030829772353172302], [15.025314331054688, -8.75002384185791, -0.0393863283097744], [19.852258682250977, -8.750025749206543, -0.05204837769269943], [27.994564056396484, -8.750029563903809, -0.07340766489505768], [45.315765380859375, -8.75003719329834, -0.11883464455604553], [31.704879760742188, 8.749968528747559, -0.0831800028681755], [21.813312530517578, 8.74997329711914, -0.05723964422941208], [16.260175704956055, 8.749975204467773, -0.04267242178320885], [12.629815101623535, 8.749977111816406, -0.03315231204032898], [10.015131950378418, 8.749978065490723, -0.02629340998828411], [7.997848987579346, 8.749979972839355, -0.02100093849003315], [6.357211112976074, 8.749979972839355, -0.016697920858860016], [4.964915752410889, 8.749980926513672, -0.013045959174633026], [3.7399070262908936, 8.749982833862305, -0.009832686744630337], [2.6275041103363037, 8.749981880187988, -0.006915702484548092], [1.5878942012786865, 8.749982833862305, -0.004188423044979572], [0.5899429321289062, 8.749983787536621, -0.0015702819218859076], [-0.39293771982192993, 8.749983787536621, 0.0010075760073959827]]",0.13225746154785156
5,5.739823,"[[-0.06294059008359909, -0.7997472286224365, 0.00017143248987849802], [0.29461583495140076, -8.750021934509277, -0.0007952880696393549], [1.285400629043579, -8.750022888183594, -0.00348663330078125], [2.3095033168792725, -8.75002384185791, -0.006268959026783705], [3.3964076042175293, -8.750024795532227, -0.009220847859978676], [4.582711219787598, -8.750025749206543, -0.012441291473805904], [5.917797565460205, -8.750025749206543, -0.01606922037899494], [7.4731974601745605, -8.750027656555176, -0.020291900262236595], [9.359757423400879, -8.750028610229492, -0.025417404249310493], [11.763498306274414, -8.750030517578125, -0.0319448858499527], [15.025325775146484, -8.750032424926758, -0.04080619663000107], [19.852275848388672, -8.750035285949707, -0.053915709257125854], [27.994604110717773, -8.750041007995605, -0.07602661103010178], [45.315834045410156, -8.750052452087402, -0.12307647615671158], [31.704818725585938, 8.749956130981445, -0.0861125960946083], [21.813274383544922, 8.74996280670166, -0.059251364320516586], [16.260154724121094, 8.749966621398926, -0.04416923597455025], [12.629800796508789, 8.749968528747559, -0.03430801257491112], [10.015118598937988, 8.749970436096191, -0.027208175510168076], [7.997838497161865, 8.749971389770508, -0.02172733284533024], [6.357202529907227, 8.74997329711914, -0.017271650955080986], [4.964911460876465, 8.74997329711914, -0.013489723205566406], [3.7398993968963623, 8.749975204467773, -0.010162429884076118], [2.627500295639038, 8.749975204467773, -0.007141151465475559], [1.5878924131393433, 8.74997615814209, -0.004317741375416517], [0.5899416208267212, 8.749975204467773, -0.0016068267868831754], [-0.39293691515922546, 8.749977111816406, 0.0010627746814861894]]",-0.10730382800102234
6,5.989961,"[[-0.06294073909521103, -0.7997404932975769, 0.00016658782260492444], [0.2946167588233948, -8.750021934509277, -0.000798454275354743], [1.2854009866714478, -8.750021934509277, -0.0034381102304905653], [2.3095030784606934, -8.750022888183594, -0.006166419945657253], [3.3964061737060547, -8.75002384185791, -0.009061813354492188], [4.5827131271362305, -8.750024795532227, -0.012223471887409687], [5.917799472808838, -8.750025749206543, -0.015782127156853676], [7.473196029663086, -8.75002670288086, -0.01992439292371273], [9.359755516052246, -8.750027656555176, -0.024951934814453125], [11.763497352600098, -8.750029563903809, -0.03135761246085167], [15.0253267288208, -8.750031471252441, -0.04004760831594467], [19.85227394104004, -8.75003433227539, -0.05290965735912323], [27.994606018066406, -8.750040054321289, -0.07460353523492813], [45.31581497192383, -8.750051498413086, -0.12075450271368027], [31.704833984375, 8.749958038330078, -0.08446189761161804], [21.81328582763672, 8.749963760375977, -0.05810562148690224], [16.260162353515625, 8.749967575073242, -0.043310776352882385], [12.629806518554688, 8.749969482421875, -0.03363952413201332], [10.015122413635254, 8.749971389770508, -0.02667076140642166], [7.997844696044922, 8.749972343444824, -0.021297721192240715], [6.357207298278809, 8.74997329711914, -0.016924818977713585], [4.964914321899414, 8.749975204467773, -0.013216246850788593], [3.7399046421051025, 8.74997615814209, -0.009951744228601456], [2.6275036334991455, 8.74997615814209, -0.006987609900534153], [1.5878949165344238, 8.74997615814209, -0.004217872396111488], [0.5899419188499451, 8.749977111816406, -0.001558761578053236], [-0.3929358720779419, 8.749978065490723, 0.0010597992222756147]]",-0.10592120885848999
7,6.327863,"[[-0.06294013559818268, -0.7997485399246216, 0.0001612091000424698], [0.29461708664894104, -8.750017166137695, -0.0007796477875672281], [1.285401463508606, -8.750018119812012, -0.003339042654260993], [2.3095035552978516, -8.750019073486328, -0.0059851836413145065], [3.396409034729004, -8.750019073486328, -0.008793601766228676], [4.5827107429504395, -8.750020027160645, -0.011858481913805008], [5.9177985191345215, -8.750020980834961, -0.0153073500841856], [7.473193645477295, -8.750020980834961, -0.019326286390423775], [9.359749794006348, -8.750021934509277, -0.024201849475502968], [11.763490676879883, -8.750022888183594, -0.030412063002586365], [15.025322914123535, -8.750024795532227, -0.03883712738752365], [19.852270126342773, -8.750027656555176, -0.051311299204826355], [27.994571685791016, -8.750030517578125, -0.07234825193881989], [45.3157844543457, -8.750039100646973, -0.11710727214813232], [31.704879760742188, 8.749966621398926, -0.08190185576677322], [21.81330680847168, 8.749970436096191, -0.05634342133998871], [16.260173797607422, 8.749974250793457, -0.04199451208114624], [12.6298189163208, 8.74997615814209, -0.032615698873996735], [10.015130996704102, 8.749977111816406, -0.02585746720433235], [7.997849464416504, 8.749978065490723, -0.020646285265684128], [6.357211112976074, 8.749979019165039, -0.016406554728746414], [4.9649152755737305, 8.749979972839355, -0.012810973450541496], [3.739905595779419, 8.749981880187988, -0.009645652957260609], [2.62750506401062, 8.749980926513672, -0.00677085854113102], [1.5878952741622925, 8.749981880187988, -0.00408451072871685], [0.5899428129196167, 8.749981880187988, -0.0015065001789480448], [-0.392936646938324, 8.749981880187988, 0.0010334396502003074]]",-0.10592120885848999
8,6.58404,"[[-0.06294059753417969, -0.7997429966926575, 0.00015754699415992945], [0.294617235660553, -8.750017166137695, -0.0007493972661904991], [1.2854021787643433, -8.750018119812012, -0.003238487057387829], [2.3095030784606934, -8.750019073486328, -0.0058136750012636185], [3.3964085578918457, -8.750019073486328, -0.008547324687242508], [4.582711219787598, -8.750020027160645, -0.0115287397056818], [5.9177985191345215, -8.750020980834961, -0.014885520562529564], [7.473197937011719, -8.750020980834961, -0.018795661628246307], [9.359756469726562, -8.750021934509277, -0.023539045825600624], [11.763498306274414, -8.750022888183594, -0.02958194725215435], [15.025324821472168, -8.750024795532227, -0.037782058119773865], [19.852277755737305, -8.750027656555176, -0.049917373806238174], [27.994586944580078, -8.750030517578125, -0.07038676738739014], [45.31581115722656, -8.750039100646973, -0.11393234133720398], [31.704877853393555, 8.749966621398926, -0.07969821989536285], [21.813302993774414, 8.749971389770508, -0.0548303984105587], [16.260175704956055, 8.749974250793457, -0.040869634598493576], [12.629817008972168, 8.74997615814209, -0.03174201771616936], [10.015130043029785, 8.749977111816406, -0.025169409811496735], [7.997848987579346, 8.749978065490723, -0.020099371671676636], [6.357211589813232, 8.749979019165039, -0.01597335748374462], [4.9649176597595215, 8.749979972839355, -0.012473907321691513], [3.739905834197998, 8.749981880187988, -0.00939380656927824], [2.6275055408477783, 8.749979972839355, -0.006597785744816065], [1.587893009185791, 8.749981880187988, -0.003982505761086941], [0.5899426341056824, 8.749981880187988, -0.0014751433627679944], [-0.39293864369392395, 8.749981880187988, 0.0009960174793377519]]",-0.10377340018749237
9,6.872995,"[[-0.06293967366218567, -0.7997527122497559, 0.00015502929454669356], [0.2946169078350067, -8.750018119812012, -0.000729522667825222], [1.2854008674621582, -8.750019073486328, -0.0031700516119599342], [2.3095033168792725, -8.750019073486328, -0.005692863371223211], [3.3964076042175293, -8.750020980834961, -0.008370475843548775], [4.582711219787598, -8.750020980834961, -0.011293258517980576], [5.9178009033203125, -8.750021934509277, -0.01458206120878458], [7.473199367523193, -8.750022888183594, -0.018415717408061028], [9.359758377075195, -8.75002384185791, -0.023062247782945633], [11.76350212097168, -8.750025749206543, -0.028984183445572853], [15.025330543518066, -8.750027656555176, -0.037019308656454086], [19.852283477783203, -8.750030517578125, -0.04891391471028328], [27.994604110717773, -8.750036239624023, -0.06897075474262238], [45.31583786010742, -8.75004768371582, -0.11163821816444397], [31.70486831665039, 8.749960899353027, -0.07810276001691818], [21.813304901123047, 8.749967575073242, -0.05373489111661911], [16.260175704956055, 8.749971389770508, -0.04005306214094162], [12.629819869995117, 8.74997329711914, -0.031109999865293503], [10.015131950378418, 8.74997615814209, -0.024670029059052467], [7.997849464416504, 8.74997615814209, -0.019699478521943092], [6.357213497161865, 8.749977111816406, -0.01565750129520893], [4.9649176597595215, 8.749978065490723, -0.012228088453412056], [3.73990797996521, 8.749979972839355, -0.009209861978888512], [2.627506971359253, 8.749979972839355, -0.006469192449003458], [1.5878956317901611, 8.749979972839355, -0.003908920101821423], [0.5899432897567749, 8.749980926513672, -0.0014500427059829235], [-0.3929370939731598, 8.749981880187988, 0.0009717941284179688]]",-0.10025812685489655
