,Time (Seconds),Lidar,Steer
0,5.072537,"[[-0.06294004619121552, -0.6993335485458374, 0.0001500701910117641], [0.19636736810207367, -8.749979019165039, -0.00047058105701580644], [1.1852623224258423, -8.749978065490723, -0.002826270880177617], [2.204786539077759, -8.749977111816406, -0.005257949698716402], [3.2838833332061768, -8.74997615814209, -0.00783004704862833], [4.45831298828125, -8.749975204467773, -0.010629653930664062], [5.775768280029297, -8.749974250793457, -0.013769377954304218], [7.3049798011779785, -8.749972343444824, -0.01741413027048111], [9.151700973510742, -8.749971389770508, -0.02181655913591385], [11.491860389709473, -8.749968528747559, -0.027396468445658684], [14.644893646240234, -8.749966621398926, -0.03491012379527092], [19.26346778869629, -8.749961853027344, -0.045921362936496735], [26.929481506347656, -8.749955177307129, -0.06419448554515839], [42.73391342163086, -8.749940872192383, -0.10186759382486343], [33.15111541748047, 8.75005054473877, -0.07902328670024872], [22.542299270629883, 8.750041007995605, -0.05373451113700867], [16.706819534301758, 8.750035285949707, -0.039822883903980255], [12.937665939331055, 8.750032424926758, -0.030836867168545723], [10.24494457244873, 8.750029563903809, -0.024419287219643593], [8.179964065551758, 8.750027656555176, -0.0194966122508049], [6.508485794067383, 8.75002670288086, -0.015511550940573215], [5.0955610275268555, 8.750024795532227, -0.01214549969881773], [3.8566102981567383, 8.75002384185791, -0.009191093035042286], [2.734907388687134, 8.750022888183594, -0.006516685243695974], [1.689537763595581, 8.750021934509277, -0.004025764297693968], [0.6886423230171204, 8.750020980834961, -0.0016395950224250555], [-0.29461580514907837, 8.750020980834961, 0.0007044982630759478]]",-0.021200135486745344
1,5.241564,"[[-0.06293989717960358, -0.6993305087089539, 0.00015003203589003533], [0.1963675320148468, -8.749979019165039, -0.00047054290189407766], [1.1852622032165527, -8.749978065490723, -0.002826270880177617], [2.204786539077759, -8.749977111816406, -0.005257949698716402], [3.283884286880493, -8.74997615814209, -0.007830008864402771], [4.45831298828125, -8.749975204467773, -0.010629653930664062], [5.775768280029297, -8.749974250793457, -0.013769339770078659], [7.304980754852295, -8.749972343444824, -0.01741432212293148], [9.151700019836426, -8.749971389770508, -0.021816596388816833], [11.491860389709473, -8.749968528747559, -0.027396315708756447], [14.64489459991455, -8.749966621398926, -0.0349101647734642], [19.26346778869629, -8.749961853027344, -0.04592132568359375], [26.929481506347656, -8.749955177307129, -0.06419448554515839], [42.73391342163086, -8.749940872192383, -0.10186759382486343], [33.15111541748047, 8.75005054473877, -0.07902324199676514], [22.542299270629883, 8.750041007995605, -0.05373454838991165], [16.706817626953125, 8.750035285949707, -0.039822883903980255], [12.937665939331055, 8.750033378601074, -0.030836867168545723], [10.24494457244873, 8.750029563903809, -0.024419249966740608], [8.179964065551758, 8.750027656555176, -0.019496573135256767], [6.508485794067383, 8.75002670288086, -0.015511550940573215], [5.0955610275268555, 8.750024795532227, -0.01214549969881773], [3.8566105365753174, 8.75002384185791, -0.009191131219267845], [2.7349071502685547, 8.750022888183594, -0.006516647059470415], [1.6895376443862915, 8.750021934509277, -0.00402564974501729], [0.6886422038078308, 8.750020980834961, -0.0016395568381994963], [-0.29461565613746643, 8.750021934509277, 0.0007044601370580494]]",-0.021200135486745344
2,5.412814,"[[-0.06293989717960358, -0.6993323564529419, 0.0001500701910117641], [0.19636721909046173, -8.749979019165039, -0.00047058105701580644], [1.1852622032165527, -8.749978065490723, -0.0028263090644031763], [2.204786539077759, -8.749977111816406, -0.005257949698716402], [3.283883571624756, -8.74997615814209, -0.00783008523285389], [4.45831298828125, -8.749975204467773, -0.010629692114889622], [5.775768280029297, -8.749974250793457, -0.013769416138529778], [7.304980278015137, -8.749972343444824, -0.017414169386029243], [9.151700019836426, -8.749971389770508, -0.02181655913591385], [11.491860389709473, -8.749968528747559, -0.027396468445658684], [14.644893646240234, -8.749966621398926, -0.0349101647734642], [19.26346778869629, -8.749961853027344, -0.04592132568359375], [26.929481506347656, -8.749955177307129, -0.06419452279806137], [42.73391342163086, -8.749940872192383, -0.10186755657196045], [33.15111541748047, 8.750051498413086, -0.07902324199676514], [22.542299270629883, 8.750041007995605, -0.05373451113700867], [16.706817626953125, 8.750035285949707, -0.039822883903980255], [12.937665939331055, 8.750033378601074, -0.03083682991564274], [10.24494457244873, 8.750029563903809, -0.024419287219643593], [8.179964065551758, 8.750027656555176, -0.019496573135256767], [6.508485794067383, 8.75002670288086, -0.015511550940573215], [5.095561504364014, 8.750025749206543, -0.01214549969881773], [3.8566105365753174, 8.75002384185791, -0.009191093035042286], [2.734907865524292, 8.750022888183594, -0.006516685243695974], [1.6895376443862915, 8.750021934509277, -0.004025802481919527], [0.6886422038078308, 8.750020980834961, -0.0016395950224250555], [-0.29461580514907837, 8.750020980834961, 0.0007044601370580494]]",-0.021200135486745344
3,5.632116,"[[-0.06293989717960358, -0.6993323564529419, 0.00015010833158157766], [0.1963675320148468, -8.749979019165039, -0.00047054290189407766], [1.1852622032165527, -8.749978065490723, -0.0028263090644031763], [2.204786539077759, -8.749977111816406, -0.005257987882941961], [3.283883571624756, -8.74997615814209, -0.00783008523285389], [4.458312511444092, -8.749975204467773, -0.010629653930664062], [5.775768280029297, -8.749974250793457, -0.013769377954304218], [7.304980278015137, -8.749972343444824, -0.017414169386029243], [9.151700019836426, -8.749971389770508, -0.02181655913591385], [11.491860389709473, -8.749968528747559, -0.027396202087402344], [14.644893646240234, -8.749966621398926, -0.0349101647734642], [19.26346778869629, -8.749961853027344, -0.04592132568359375], [26.929481506347656, -8.749955177307129, -0.06419448554515839], [42.73392105102539, -8.749940872192383, -0.10186755657196045], [33.1511116027832, 8.750049591064453, -0.07902324199676514], [22.542299270629883, 8.750041007995605, -0.05373451113700867], [16.706817626953125, 8.750035285949707, -0.039822883903980255], [12.937664031982422, 8.750030517578125, -0.030836867168545723], [10.24494457244873, 8.750029563903809, -0.024419287219643593], [8.179964065551758, 8.750027656555176, -0.0194966122508049], [6.508485794067383, 8.75002670288086, -0.015511589124798775], [5.095561504364014, 8.750025749206543, -0.01214553788304329], [3.8566105365753174, 8.75002384185791, -0.009191093035042286], [2.7349071502685547, 8.750022888183594, -0.006516647059470415], [1.6895376443862915, 8.750021934509277, -0.0040254974737763405], [0.6886422038078308, 8.750020980834961, -0.0016395568381994963], [-0.29461580514907837, 8.750020980834961, 0.0007044982630759478]]",-0.021200135486745344
4,5.861347,"[[-0.06293987482786179, -0.699334979057312, 0.00022106169490143657], [0.1963239461183548, -8.748614311218262, -0.0028301237616688013], [1.1850063800811768, -8.748274803161621, -0.008451804518699646], [2.204232692718506, -8.747923851013184, -0.014247283339500427], [3.2829201221466064, -8.747552871704102, -0.02038288116455078], [4.456803798675537, -8.747148513793945, -0.0270572267472744], [5.773519992828369, -8.746695518493652, -0.03454605117440224], [7.301701068878174, -8.746170043945312, -0.04323768615722656], [9.146933555603027, -8.745535850524902, -0.05373065918684006], [11.484820365905762, -8.744731903076172, -0.06702373176813126], [14.63412094116211, -8.74364948272705, -0.08493202179670334], [19.245813369750977, -8.74206256866455, -0.11115985363721848], [26.89671516418457, -8.739431381225586, -0.1546688824892044], [42.65553283691406, -8.73401165008545, -0.24428527057170868], [33.198753356933594, 8.762736320495605, -0.18707877397537231], [22.565284729003906, 8.759078979492188, -0.1266099065542221], [16.72003173828125, 8.757068634033203, -0.09336959570646286], [12.945985794067383, 8.755770683288574, -0.07190722972154617], [10.250452995300293, 8.754843711853027, -0.056578826159238815], [8.183700561523438, 8.754133224487305, -0.044824257493019104], [6.511032581329346, 8.753558158874512, -0.03531314805150032], [5.09727668762207, 8.753071784973145, -0.02727348357439041], [3.85772442817688, 8.752645492553711, -0.02022460848093033], [2.7355797290802, 8.752259254455566, -0.013842315413057804], [1.6898854970932007, 8.751899719238281, -0.007896003313362598], [0.6887608170509338, 8.751555442810059, -0.00220287311822176], [-0.29464149475097656, 8.75121784210205, 0.003389282152056694]]",-0.021049345252229203
5,6.032906,"[[-0.06294282525777817, -0.7997480630874634, 0.00031352994847111404], [0.2942439317703247, -8.742354393005371, -0.01020130142569542], [1.2838037014007568, -8.740540504455566, -0.023926429450511932], [2.3062074184417725, -8.738667488098145, -0.03810775652527809], [3.390829086303711, -8.73668098449707, -0.053152844309806824], [4.574077606201172, -8.734512329101562, -0.0695653110742569], [5.90502405166626, -8.732074737548828, -0.0880255475640297], [7.454661846160889, -8.72923469543457, -0.10951972752809525], [9.332883834838867, -8.725793838500977, -0.13557101786136627], [11.723856925964355, -8.721413612365723, -0.16873584687709808], [14.964513778686523, -8.715476036071777, -0.21368533372879028], [19.75204849243164, -8.706704139709473, -0.2800920307636261], [27.806068420410156, -8.691948890686035, -0.3918033242225647], [44.84895324707031, -8.660723686218262, -0.6281965374946594], [31.940038681030273, 8.815654754638672, -0.4368937909603119], [21.929393768310547, 8.797313690185547, -0.2980422377586365], [16.32765007019043, 8.787050247192383, -0.22034266591072083], [12.672581672668457, 8.780352592468262, -0.16964763402938843], [10.043545722961426, 8.775537490844727, -0.13317988812923431], [8.017165184020996, 8.771824836730957, -0.10507308691740036], [6.370389461517334, 8.768807411193848, -0.08223174512386322], [4.973773002624512, 8.76624870300293, -0.06285876780748367], [3.7456347942352295, 8.763998985290527, -0.04582427814602852], [2.6309425830841064, 8.761958122253418, -0.03036174736917019], [1.5896583795547485, 8.760048866271973, -0.015919990837574005], [0.5905286073684692, 8.758217811584473, -0.002061462262645364], [-0.39310500025749207, 8.756415367126465, 0.01158164907246828]]",-0.020392116580628443
6,6.197949,"[[-0.0629449412226677, -0.6993273496627808, 0.0004762267635669559], [0.19570636749267578, -8.731865882873535, -0.014415205456316471], [1.181761622428894, -8.72763442993164, -0.0348656065762043], [2.197380304336548, -8.723276138305664, -0.05592750012874603], [3.271226406097412, -8.718667030334473, -0.0781969353556633], [4.438655376434326, -8.71365737915039, -0.1024092361330986], [5.7466654777526855, -8.70804500579834, -0.12953321635723114], [7.262774467468262, -8.7015380859375, -0.1609753966331482], [9.090710639953613, -8.693694114685059, -0.1988844871520996], [11.402300834655762, -8.6837739944458, -0.24682340025901794], [14.508520126342773, -8.67044448852539, -0.31124258041381836], [19.04134750366211, -8.650991439819336, -0.40524423122406006], [26.52031135559082, -8.618896484375, -0.5603486895561218], [41.76535415649414, -8.553473472595215, -0.8765109181404114], [32.26333236694336, 8.905909538269043, -0.6586945056915283], [22.088796615600586, 8.862245559692383, -0.4476891756057739], [16.420364379882812, 8.837919235229492, -0.3301360011100769], [12.731438636779785, 8.822090148925781, -0.2536318004131317], [10.082755088806152, 8.810723304748535, -0.19870243966579437], [8.04389476776123, 8.801973342895508, -0.15641966462135315], [6.388696193695068, 8.794873237609863, -0.12209242582321167], [4.986137390136719, 8.788851737976074, -0.09300696104764938], [3.7536885738372803, 8.783562660217285, -0.06744803488254547], [2.6358089447021484, 8.778765678405762, -0.04426417872309685], [1.5921860933303833, 8.774287223815918, -0.022621914744377136], [0.5913823843002319, 8.769993782043457, -0.0018661879003047943], [-0.3933469355106354, 8.765766143798828, 0.018556250259280205]]",-0.0199775949218828
7,6.345739,"[[-0.0629521831870079, -0.7997440695762634, 0.00030544280889444053], [0.2930530309677124, -8.716200828552246, -0.020838584750890732], [1.2786293029785156, -8.708831787109375, -0.04515193775296211], [2.295600414276123, -8.701228141784668, -0.07023917883634567], [3.3729939460754395, -8.693172454833984, -0.09681762754917145], [4.546640396118164, -8.684396743774414, -0.12576961517333984], [5.864656448364258, -8.674541473388672, -0.15828394889831543], [7.396390914916992, -8.66308879852295, -0.19607143104076385], [9.248839378356934, -8.649237632751465, -0.24176883697509766], [11.600544929504395, -8.631653785705566, -0.2997823655605316], [14.776508331298828, -8.607906341552734, -0.37812793254852295], [19.444461822509766, -8.573003768920898, -0.4932831823825836], [27.233366012573242, -8.514764785766602, -0.6854292154312134], [43.45573806762695, -8.393467903137207, -1.0856112241744995], [32.697723388671875, 9.026581764221191, -0.7929108738899231], [22.302780151367188, 8.948857307434082, -0.5364766120910645], [16.545148849487305, 8.905806541442871, -0.3944423198699951], [12.810941696166992, 8.877885818481445, -0.3023218810558319], [10.135948181152344, 8.857885360717773, -0.2363327294588089], [8.080349922180176, 8.84251594543457, -0.18562527000904083], [6.4138054847717285, 8.83005428314209, -0.1445121318101883], [5.003208160400391, 8.81950569152832, -0.10971377789974213], [3.7648746967315674, 8.810247421264648, -0.0791645422577858], [2.6426291465759277, 8.80185604095459, -0.05148075148463249], [1.5957485437393188, 8.794028282165527, -0.02565505914390087], [0.592568039894104, 8.786527633666992, -0.0009089278755709529], [-0.3937898874282837, 8.779151916503906, 0.023423537611961365]]",-0.01787724068633262
8,6.548696,"[[-0.0629594475030899, -0.7997382283210754, 0.0001241683930857107], [0.2922917604446411, -8.696626663208008, -0.024076880887150764], [1.2750835418701172, -8.685595512390137, -0.049637146294116974], [2.2883050441741943, -8.674223899841309, -0.07598865032196045], [3.360764980316162, -8.662185668945312, -0.10387928038835526], [4.5279059410095215, -8.649085998535156, -0.1342335045337677], [5.837221622467041, -8.634390830993652, -0.16828502714633942], [7.356982707977295, -8.617332458496094, -0.207809716463089], [9.192294120788574, -8.596733093261719, -0.25554049015045166], [11.518054008483887, -8.570629119873047, -0.31602588295936584], [14.651552200317383, -8.5354585647583, -0.39752039313316345], [19.241716384887695, -8.483939170837402, -0.5168977379798889], [26.86028480529785, -8.398427963256836, -0.7150352597236633], [42.567161560058594, -8.222134590148926, -1.1235277652740479], [33.231380462646484, 9.17418384552002, -0.8475865125656128], [22.56532859802246, 9.05446720123291, -0.5701931118965149], [16.69853401184082, 8.988617897033691, -0.41761088371276855], [12.909016609191895, 8.946084976196289, -0.3190575838088989], [10.201860427856445, 8.91569995880127, -0.24865351617336273], [8.12575912475586, 8.8923978805542, -0.1946597695350647], [6.4452691078186035, 8.873537063598633, -0.15095417201519012], [5.0247416496276855, 8.85759162902832, -0.11401042342185974], [3.7791011333465576, 8.843611717224121, -0.0816163644194603], [2.651371479034424, 8.830953598022461, -0.05228622257709503], [1.600348949432373, 8.819156646728516, -0.024952583014965057], [0.5940818786621094, 8.807862281799316, 0.0012176132295280695], [-0.39447128772735596, 8.796767234802246, 0.02692726068198681]]",-0.016196337842865498
9,6.666041,"[[-0.06295779347419739, -0.6993256211280823, 0.00014930724864825606], [0.19417007267475128, -8.675067901611328, -0.02284805290400982], [1.1722710132598877, -8.660232543945312, -0.047591742128133774], [2.177194356918335, -8.644989967346191, -0.07301631569862366], [3.236975908279419, -8.628915786743164, -0.09982658177614212], [4.385912895202637, -8.611489295959473, -0.1288938820362091], [5.6692705154418945, -8.592022895812988, -0.1613614559173584], [7.151616096496582, -8.569540023803711, -0.198863223195076], [8.931489944458008, -8.542542457580566, -0.24389182031154633], [11.170855522155762, -8.508576393127441, -0.3005455732345581], [14.16008186340332, -8.463236808776855, -0.376168817281723], [18.481645584106445, -8.397688865661621, -0.48549696803092957], [25.50880241394043, -8.291102409362793, -0.663276195526123], [39.44754409790039, -8.079683303833008, -1.0159053802490234], [33.82178497314453, 9.33699893951416, -0.8374077677726746], [22.85538673400879, 9.170661926269531, -0.5599736571311951], [16.86835479736328, 9.079854011535645, -0.4085109531879425], [13.01804256439209, 9.021452903747559, -0.31110069155693054], [10.275483131408691, 8.979854583740234, -0.24171996116638184], [8.1767578125, 8.94802188873291, -0.1886233538389206], [6.480833053588867, 8.9222993850708, -0.14571823179721832], [5.049249172210693, 8.900586128234863, -0.10950126498937607], [3.7954232692718506, 8.881567001342773, -0.07778255641460419], [2.661479949951172, 8.864367485046387, -0.04909481108188629], [1.6057049036026, 8.848353385925293, -0.02238517627120018], [0.5958181023597717, 8.833036422729492, 0.0031639861408621073], [-0.395405113697052, 8.818001747131348, 0.028241310268640518]]",-0.015053785016291232
